label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077
Weighted-mean OD in tract posterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract parahippocampal part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract superior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract middle cerebellar peduncle,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract superior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract inferior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract parahippocampal part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract corticospinal tract (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract forceps major,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean FA in tract corticospinal tract (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ICVF in tract middle cerebellar peduncle,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract inferior fronto-occipital fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract middle cerebellar peduncle,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract inferior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract acoustic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
