subset,sample_size,cca_type,i_bootstrap_repetition,corr_learn,corr_val
all,61,repeated_cv,80,0.1380088687268292,-0.2708555500720955
all,61,repeated_cv,56,0.2716661829338467,0.0274826581685256
all,61,repeated_cv,87,0.2916012695557546,0.0487812543404042
all,61,repeated_cv,63,0.4053045352789826,-0.1375670006612717
all,61,repeated_cv,1,0.0424487307079113,-0.0451961025168891
all,61,repeated_cv,18,0.1763815293046844,0.139901868105849
all,61,repeated_cv,6,0.0497168970640073,-0.1406269560896185
all,61,repeated_cv,64,0.2873497666769988,0.0918996631131014
all,61,repeated_cv,16,0.1329576571369355,-0.1487096711543132
all,61,repeated_cv,8,0.1601496020691739,-0.0313399676068715
all,61,repeated_cv,11,0.2492395734740919,0.0635003887587428
all,61,repeated_cv,75,0.2829635470029117,0.0081975230959763
all,61,repeated_cv,72,0.3299810441034982,0.045269152870659
all,61,repeated_cv,96,0.1015442755460016,-0.100936366664537
all,61,repeated_cv,47,0.3235134293724067,-0.0458688756846065
all,61,repeated_cv,91,0.0655131775720243,0.0565156644303798
all,61,repeated_cv,40,0.1189975824253828,-0.3626788112803347
all,61,repeated_cv,32,0.1930446836609352,0.2526230375527238
all,61,repeated_cv,98,0.3834337554598133,0.009313637984855
all,61,repeated_cv,49,0.0824722402345705,0.5138518773255927
all,61,repeated_cv,35,0.2725223486832568,0.0359330003935938
all,61,repeated_cv,78,0.0738254953913744,0.0468561195055663
all,61,repeated_cv,71,0.0379872008177124,-0.1494496664445688
all,61,repeated_cv,76,0.0853164438218829,0.0423153183219586
all,61,repeated_cv,92,0.0762685758226611,-0.05476215882113
all,61,repeated_cv,43,0.053713022326181,0.2119236340442549
all,61,repeated_cv,95,0.0893901482258938,-0.2136398431227641
all,61,repeated_cv,44,0.1017158097465718,0.0063655319561322
all,61,repeated_cv,38,0.1137614474156434,-0.2869440029613401
all,61,repeated_cv,36,0.0689521396579286,-0.2733642963554255
all,61,repeated_cv,31,0.1744428982767147,-0.059458109538736
all,61,repeated_cv,20,0.0346881643271539,-0.141548672488231
all,61,repeated_cv,100,0.0668303702351731,0.23626679375196
all,61,repeated_cv,27,0.1984961365535257,-0.0631931586064951
all,61,repeated_cv,55,0.1152713933764697,-0.1208562068407705
all,61,repeated_cv,84,0.0373275470868414,0.2015928774408371
all,61,repeated_cv,29,0.0272614117617587,0.195504150186168
all,61,repeated_cv,52,0.0675981648195019,0.1211318726587212
all,61,repeated_cv,83,0.0423607954334717,-0.1605102754575862
all,61,repeated_cv,5,0.0608463762909479,0.2017358223690131
all,61,repeated_cv,67,0.1376744166957018,0.0252374090571241
all,61,repeated_cv,60,0.0047418706225454,-0.2966095546998302
all,61,repeated_cv,2,0.1855388515217001,0.4634268837087385
all,61,repeated_cv,12,0.2907308642512052,-0.1215275582146501
all,61,repeated_cv,15,0.1540029919834802,-0.0500557864422752
all,61,repeated_cv,69,0.1888102124985065,-0.1764059421961467
all,61,repeated_cv,30,0.2233758663438663,-0.0335816457935042
all,61,repeated_cv,37,0.1184031148321305,-0.0847128613912235
all,61,repeated_cv,94,0.1449932268754175,0.0367042110285167
